isbn3,title1,author3,course,title2,title3,isbn1,author1,author2,isbn2,price3,price2,price1
,,,All : 2016 Fall : PHYS : 792 : 825 : Course ID 94530,,,,,,,,,
,,,All : 2016 Fall : PHYS : 792 : 828 : Course ID 94532,,,,,,,,,
,,,All : 2016 Fall : Course ID 95744,,,,,,,,,
,,,Course Materials,,,,,,,,,
,Mathematics: Applied Appr,,,,,,,,,,,
,Mathematics: Applied Appr,,,,,,,,,,,
,,,,,,,Sullivan,,,,,
,,,,,,,,,,,,$207.50
,,,,,,,,Sullivan,,,,
,,,All : 2016 Fall : Course ID 95749,,,,,,,,,
,,,All : 2016 Fall : Course ID 94204,,,,,,,,,
,,,Course Materials,,,,,,,,,
,Ansel's Pharmaceutical etc (w/Bind-In Access Code),,,,,,,,,,,
,Ansel's Pharmaceutical etc (w/Bind-In Access Code),,,,,,,,,,,
,,,,,,,Allen,,,,,
,,,,,,,,,,,,$90.00
,,,,,,,,Allen,,,,
,,,Course Materials,,,,,,,,,
,AutoCAD & Its Applications: Basics 2017,,,,,,,,,,,
,AutoCAD & Its Applications: Basics 2017,,,,,,,,,,,
,,,,,,,Shumaker,,,,,
,,,,,,,,,,,,$91.75
,,,,,,,,Shumaker,,,,
,,,Course Materials,,,,,,,,,
,AutoCAD & Its Applications: Basics 2017,,,,,,,,,,,
,AutoCAD & Its Applications: Basics 2017,,,,,,,,,,,
,,,,,,,Shumaker,,,,,
,,,,,,,,,,,,$91.75
,,,,,,,,Shumaker,,,,
,,,Course Materials,,,,,,,,,
,AutoCAD & Its Applications: Basics 2017,,,,,,,,,,,
,AutoCAD & Its Applications: Basics 2017,,,,,,,,,,,
,,,,,,,Shumaker,,,,,
,,,,,,,,,,,,$91.75
,,,All : 2016 Fall : MECH : 234 : 001 : Course ID 93909,,,,,,,,,
,,,,,,,,Shumaker,,,,
,NCEES FE Reference Hdbk 9.3 Edition,,,,,,,,,,,
,NCEES FE Reference Hdbk 9.3 Edition,,,,,,,,,,,
,,,,,,,Ppi,,,,,
,,,,,,,Ppi,,,,,
,,,,,,9781932613674,,,,,,
,,,,,,9781932613674,,,,,,
,,,,,,,,,,,,$31.25
,,,,Vector Mechanics etc: Statics,,,,,,,,
,,,,Vector Mechanics etc: Statics,,,,,,,,
,,,,,,,,Ppi,,,,
,,,,,,,,Ppi,,,,
,,,Course Materials,,,,,,,,,
,Thermodynamics (Property Tables Booklet),,,,,,,,,,,
,Thermodynamics (Property Tables Booklet),,,,,,,,,,,
,,,,,,,Cengel,,,,,
,,,,,,,Cengel,,,,,
,,,,,,,,,,,,$54.25
,,,,Thermodynamics: Engineering Approach,,,,,,,,
,,,,Thermodynamics: Engineering Approach,,,,,,,,
,,,,,,,,Cengel,,,,
,,,,,,,,Cengel,,,,
,,,Course Materials,,,,,,,,,
,NCEES FE Reference Hdbk 9.3 Edition,,,,,,,,,,,
,NCEES FE Reference Hdbk 9.3 Edition,,,,,,,,,,,
,,,,,,,Ppi,,,,,
,,,,,,,Ppi,,,,,
,,,,,,,,,,,,$31.25
,,,Course Materials,,,,,,,,,
,,,,Mechanics of Materials (w/Out Access Code),,,,,,,,
,Engineering Mech: Dynamics (TEXT ONLY),,,,,,,,,,,
,,,,Mechanics of Materials (w/Out Access Code),,,,,,,,
,,,,,,,,Ppi,,,,
,Engineering Mech: Dynamics (TEXT ONLY),,,,,,,,,,,
,,,,,,,Hibbeler,,,,,
,,,,,,,,Ppi,,,,
,,,,,,,,,,,,$251.00
,,,,,,,,Hibbeler,,,,
,,,Course Materials,,,,,,,,,
,NCEES FE Reference Hdbk 9.3 Edition,,,,,,,,,,,
,NCEES FE Reference Hdbk 9.3 Edition,,,,,,,,,,,
,,,,,,,Ppi,,,,,
,,,,,,,Ppi,,,,,
,,,,,,,,,,,,$31.25
,,,,Mechanics of Materials (w/Out Access Code),,,,,,,,
,,,,Mechanics of Materials (w/Out Access Code),,,,,,,,
,,,,,,,,Ppi,,,,
,,,,,,,,Ppi,,,,
,,,Course Materials,,,,,,,,,
,DeGarmo's Materials & Processes in Mfg (w/BindIn Access),,,,,,,,,,,
,DeGarmo's Materials & Processes in Mfg (w/BindIn Access),,,,,,,,,,,
,,,,,,,Black,,,,,
,,,,,,,,,,,,$282.50
,,,,,,,,Black,,,,
,,,Course Materials,,,,,,,,,
,DeGarmo's Materials & Processes in Mfg (w/BindIn Access),,,,,,,,,,,
,DeGarmo's Materials & Processes in Mfg (w/BindIn Access),,,,,,,,,,,
,,,,,,,Black,,,,,
,,,,,,,,,,,,$282.50
,,,,,,,,Black,,,,
,,,Course Materials,,,,,,,,,
,DeGarmo's Materials & Processes in Mfg (w/BindIn Access),,,,,,,,,,,
,DeGarmo's Materials & Processes in Mfg (w/BindIn Access),,,,,,,,,,,
,,,,,,,Black,,,,,
,,,,,,,,,,,,$282.50
,,,,,,,,Black,,,,
,,,Course Materials,,,,,,,,,
,DeGarmo's Materials & Processes in Mfg (w/BindIn Access),,,,,,,,,,,
,DeGarmo's Materials & Processes in Mfg (w/BindIn Access),,,,,,,,,,,
,,,,,,,Black,,,,,
,,,,,,,,,,,,$282.50
,,,,,,,,Black,,,,
,,,All : 2016 Fall : Course ID 93645,,,,,,,,,
,,,Course Materials,,,,,,,,,
,DeGarmo's Materials & Processes in Mfg (w/BindIn Access),,,,,,,,,,,
,DeGarmo's Materials & Processes in Mfg (w/BindIn Access),,,,,,,,,,,
,,,,,,,Black,,,,,
,,,,,,,,,,,,$282.50
,,,,,,,,Black,,,,
,,,Course Materials,,,,,,,,,
,DeGarmo's Materials & Processes in Mfg (w/BindIn Access),,,,,,,,,,,
,DeGarmo's Materials & Processes in Mfg (w/BindIn Access),,,,,,,,,,,
,,,,,,,Black,,,,,
,,,,,,,,,,,,$282.50
,,,All : 2016 Fall : Course ID 93674,,,,,,,,,
,,,,,,,,Black,,,,
,,,All : 2016 Fall : Course ID 93678,,,,,,,,,
,,,All : 2016 Fall : Course ID 93698,,,,,,,,,
,,,All : 2016 Fall : Course ID 93685,,,,,,,,,
,,,All : 2016 Fall : Course ID 93690,,,,,,,,,
,,,All : 2016 Fall : Course ID 93705,,,,,,,,,
,,,All : 2016 Fall : Course ID 93705,,,,,,,,,
,,,All : 2016 Fall : Course ID 93706,,,,,,,,,
,,,Course Materials,,,,,,,,,
,,,All : 2016 Fall : Course ID 93710,,,,,,,,,
,Mechanical Behavior of Materials,,,,,,,,,,,
,Mechanical Behavior of Materials,,,,,,,,,,,
,,,,,,,Courtney,,,,,
,,,,,,,,,,,,$114.25
,,,,,,,,Courtney,,,,
,,,All : 2016 Fall : Course ID 93716,,,,,,,,,
,,,All : 2016 Fall : Course ID 93725,,,,,,,,,
,,,All : 2016 Fall : Course ID 93725,,,,,,,,,
,,,All : 2016 Fall : Course ID 93721,,,,,,,,,
,,,All : 2016 Fall : Course ID 93737,,,,,,,,,
,,,All : 2016 Fall : Course ID 93738,,,,,,,,,
,,,All : 2016 Fall : Course ID 93727,,,,,,,,,
,,,All : 2016 Fall : Course ID 93743,,,,,,,,,
,,,All : 2016 Fall : Course ID 93743,,,,,,,,,
,,,All : 2016 Fall : Course ID 93743,,,,,,,,,
,,,All : 2016 Fall : Course ID 93747,,,,,,,,,
,,,All : 2016 Fall : Course ID 93747,,,,,,,,,
,,,All : 2016 Fall : Course ID 93758,,,,,,,,,
,,,All : 2016 Fall : Course ID 93763,,,,,,,,,
,,,All : 2016 Fall : Course ID 93763,,,,,,,,,
,,,All : 2016 Fall : Course ID 93763,,,,,,,,,
,,,All : 2016 Fall : Course ID 93763,,,,,,,,,
,,,All : 2016 Fall : Course ID 93771,,,,,,,,,
,,,All : 2016 Fall : Course ID 93775,,,,,,,,,
,,,All : 2016 Fall : Course ID 93786,,,,,,,,,
,,,All : 2016 Fall : MNET : 414 : 001 : Course ID 94020,,,,,,,,,
,Engineering Economic Analysis (w/CD & SG),,,,,,,,,,,
,Engineering Economic Analysis (w/CD & SG),,,,,,,,,,,
,,,,,,,Newnan,,,,,
,,,,,,9780199364497,,,,,,
,,,,,,,,,,,,$155.00
,,,,,,,,Newnan,,,,
,,,All : 2016 Fall : Course ID 93776,,,,,,,,,
,,,All : 2016 Fall : Course ID 93804,,,,,,,,,
,,,All : 2016 Fall : Course ID 93824,,,,,,,,,
,,,All : 2016 Fall : Course ID 93806,,,,,,,,,
,,,All : 2016 Fall : Course ID 93806,,,,,,,,,
,,,All : 2016 Fall : Course ID 93813,,,,,,,,,
,,,All : 2016 Fall : Course ID 93826,,,,,,,,,
,,,All : 2016 Fall : Course ID 93818,,,,,,,,,
,,,All : 2016 Fall : Course ID 93834,,,,,,,,,
,,,All : 2016 Fall : Course ID 93849,,,,,,,,,
,,,Course Materials,,,,,,,,,
,Managing for Quality & Performance etc,,,,,,,,,,,
,Managing for Quality & Performance etc,,,,,,,,,,,
,,,,,,,Evans,,,,,
,,,,,,,,,,,,$356.75
,,,,,,,,Evans,,,,
,,,All : 2016 Fall : Course ID 93852,,,,,,,,,
,,,All : 2016 Fall : Course ID 93866,,,,,,,,,
,,,All : 2016 Fall : Course ID 93881,,,,,,,,,
,,,All : 2016 Fall : Course ID 93867,,,,,,,,,
,,,All : 2016 Fall : Course ID 93882,,,,,,,,,
,,,All : 2016 Fall : Course ID 93870,,,,,,,,,
,,,All : 2016 Fall : Course ID 93884,,,,,,,,,
,,,All : 2016 Fall : Course ID 93886,,,,,,,,,
,,,All : 2016 Fall : Course ID 93877,,,,,,,,,
,,,All : 2016 Fall : Course ID 93898,,,,,,,,,
,,,All : 2016 Fall : Course ID 93900,,,,,,,,,
,,,All : 2016 Fall : Course ID 93901,,,,,,,,,
,,,All : 2016 Fall : IT : 330 : 101 : Course ID 93262,,,,,,,,,
,Guide to Computer Forensics etc (w/DVD),,,,,,,,,,,
,Guide to Computer Forensics etc (w/DVD),,,,,,,,,,,
,,,,,,,Nelson,,,,,
,,,,,,9781285060033,,,,,,
,,,,,,,,,,,,$206.50
,,,,,,,,Nelson,,,,
,,,Course Materials,,,,,,,,,
,Intro to JAVA Prog: Comprehensive (w/Bind-In Access),,,,,,,,,,,
,Intro to JAVA Prog: Comprehensive (w/Bind-In Access),,,,,,,,,,,
,,,,,,,Liang,,,,,
,,,,,,,,,,,,$176.50
,,,,,,,,Liang,,,,
,,,All : 2016 Fall : IS : 265 : 001 : Course ID 93037,,,,,,,,,
,Information Systems for Business,,,,,,,,,,,
,Information Systems for Business,,,,,,,,,,,
,,,,,,,Belanger,,,,,
,,,,,,9780470903728,,,,,,
,,,,,,,,,,,,$95.25
,,,,,,,,Belanger,,,,
,,,Course Materials,,,,,,,,,
,Computer Networks & Internets etc (w/Access Code),,,,,,,,,,,
,Computer Networks & Internets etc (w/Access Code),,,,,,,,,,,
,,,,,,,Comer,,,,,
,,,,,,,,,,,,$199.75
,,,,,,,,Comer,,,,
,,,Course Materials,,,,,,,,,
,Computer Networks & Internets etc (w/Access Code),,,,,,,,,,,
,Computer Networks & Internets etc (w/Access Code),,,,,,,,,,,
,,,,,,,Comer,,,,,
,,,,,,,,,,,,$199.75
,,,,,,,,Comer,,,,
,,,Course Materials,,,,,,,,,
,,,All : 2016 Fall : IS : 661 : 001 : Course ID 93089,,,,,,,,,
,Concepts in Enterprise Resource Planning,,,,,,,,,,,
,Interaction Design: Beyond Human Interaction,,,,,,,,,,,
,Interaction Design: Beyond Human Interaction,,,,,,,,,,,
,,,,,,,Preece,,,,,
,Concepts in Enterprise Resource Planning,,,,,,,,,,,
,,,,,,,Monk,,,,,
,,,,,,9781119020752,,,,,,
,,,,,,,,,,,,$102.00
,,,,,,,,Preece,,,,
,,,,,,,,,,,,$113.25
,,,,,,,,Monk,,,,
,,,Course Materials,,,,,,,,,
,Database System Concepts,,,,,,,,,,,
,,,All : 2016 Fall : IS : 663 : 101 : Course ID 93093,,,,,,,,,
,Database System Concepts,,,,,,,,,,,
,Software Engineering,,,,,,,,,,,
,Software Engineering,,,,,,,,,,,
,,,,,,,Sommerville,,,,,
,,,,,,9780133943030,,,,,,
,,,,,,,Silberschatz,,,,,
,,,,,,,,,,,,$206.25
,,,,,,,,,,,,$240.25
,,,,,,,,Sommerville,,,,
,,,,,,,,Silberschatz,,,,
,,,All : 2016 Fall : Course ID 93121,,,,,,,,,
,,,All : 2016 Fall : Course ID 93121,,,,,,,,,
,,,All : 2016 Fall : Course ID 93125,,,,,,,,,
,,,All : 2016 Fall : Course ID 93125,,,,,,,,,
,,,All : 2016 Fall : Course ID 93125,,,,,,,,,
,,,All : 2016 Fall : Course ID 93145,,,,,,,,,
,,,Course Materials,,,,,,,,,
,,,All : 2016 Fall : Course ID 93139,,,,,,,,,
,Information Technology Auditing,,,,,,,,,,,
,Information Technology Auditing,,,,,,,,,,,
,,,,,,,Hall,,,,,
,,,,,,,,,,,,$250.75
,,,,,,,,Hall,,,,
,,,All : 2016 Fall : Course ID 93143,,,,,,,,,
,,,All : 2016 Fall : Course ID 93146,,,,,,,,,
,,,All : 2016 Fall : Course ID 93147,,,,,,,,,
,,,All : 2016 Fall : Course ID 93149,,,,,,,,,
,,,All : 2016 Fall : Course ID 93165,,,,,,,,,
,,,All : 2016 Fall : Course ID 93167,,,,,,,,,
,,,All : 2016 Fall : Course ID 93167,,,,,,,,,
,,,All : 2016 Fall : Course ID 93155,,,,,,,,,
,,,All : 2016 Fall : Course ID 93170,,,,,,,,,
,,,All : 2016 Fall : Course ID 93158,,,,,,,,,
,,,All : 2016 Fall : Course ID 93174,,,,,,,,,
,,,All : 2016 Fall : Course ID 93179,,,,,,,,,
,,,All : 2016 Fall : Course ID 93189,,,,,,,,,
,,,All : 2016 Fall : Course ID 93178,,,,,,,,,
,,,All : 2016 Fall : Course ID 93200,,,,,,,,,
,,,All : 2016 Fall : Course ID 93189,,,,,,,,,
,,,All : 2016 Fall : Course ID 93189,,,,,,,,,
,,,All : 2016 Fall : Course ID 93207,,,,,,,,,
,,,All : 2016 Fall : Course ID 93194,,,,,,,,,
,,,All : 2016 Fall : Course ID 93195,,,,,,,,,
,,,All : 2016 Fall : Course ID 93203,,,,,,,,,
,,,All : 2016 Fall : IS : 791 : 001 : Course ID 93220,,,,,,,,,
,,,All : 2016 Fall : Course ID 93212,,,,,,,,,
,,,All : 2016 Fall : Course ID 93218,,,,,,,,,
,,,All : 2016 Fall : MATH : 101 : 001 : Course ID 93304,,,,,,,,,
,College Algebra,,,,,,,,,,,
,College Algebra,,,,,,,,,,,
,,,,,,,Ratti,,,,,
,,,,,,9780321912787,,,,,,
,,,,,,,,,,,,$237.75
,,,,,,,,Ratti,,,,
,,,All : 2016 Fall : MATH : 111 : 001 : Course ID 93334,,,,,,,,,
,,,,,,,Thomas,,,,,
,,,All : 2016 Fall : Course ID 95724,,,,,,,,,
,,,,,,,Thomas,,,,,
,,,,,,9780321981677,,,,,,
,,,,,,9780321981677,,,,,,
,,,,Calculus: Early Transcendentals (LL)(w/MyMathLab),,,,,,,,
,,,,Calculus: Early Transcendentals (LL)(w/MyMathLab),,,,,,,,
,,,,,,,,Thomas,,,,
,,,,,,,,Thomas,,,,
,,,Course Materials,,,,,,,,,
,Understanding Basic Statistics w/o WEBASSIGN homewk mgmt,,,,,,,,,,,
,Understanding Basic Statistics w/o WEBASSIGN homewk mgmt,,,,,,,,,,,
,,,,,,,Brase,,,,,
,,,,,,,,,,,,$234.50
,,,,,,,,Brase,,,,
,,,Course Materials,,,,,,,,,
,,,,,,,Thomas,,,,,
,,,,,,,Thomas,,,,,
,,,,Calculus: Early Transcendentals (LL)(w/MyMathLab),,,,,,,,
,,,,Calculus: Early Transcendentals (LL)(w/MyMathLab),,,,,,,,
,,,,,,,,Thomas,,,,
,,,,,,,,Thomas,,,,
,,,Course Materials,,,,,,,,,
,,,,,,,Thomas,,,,,
,,,,,,,Thomas,,,,,
,,,,Calculus: Early Transcendentals (LL)(w/MyMathLab),,,,,,,,
,,,,Calculus: Early Transcendentals (LL)(w/MyMathLab),,,,,,,,
,,,,,,,,Thomas,,,,
,,,,,,,,Thomas,,,,
,,,Course Materials,,,,,,,,,
,,,,,,,Thomas,,,,,
,,,,,,,Thomas,,,,,
,,,,Calculus: Early Transcendentals (LL)(w/MyMathLab),,,,,,,,
,,,,Calculus: Early Transcendentals (LL)(w/MyMathLab),,,,,,,,
,,,,,,,,Thomas,,,,
,,,,,,,,Thomas,,,,
,,,Course Materials,,,,,,,,,
,,,,,,,Thomas,,,,,
,,,,,,,Thomas,,,,,
,,,,Calculus: Early Transcendentals (LL)(w/MyMathLab),,,,,,,,
,,,,Calculus: Early Transcendentals (LL)(w/MyMathLab),,,,,,,,
,,,,,,,,Thomas,,,,
,,,,,,,,Thomas,,,,
,,,Course Materials,,,,,,,,,
,Calculus: Concepts etc (w/Enh WebAssign Access),,,,,,,,,,,
,Calculus: Concepts etc (w/Enh WebAssign Access),,,,,,,,,,,
,,,,,,,Stewart,,,,,
,,,,,,,,,,,,$159.49
,,,,,,,,Stewart,,,,
,,,All : 2016 Fall : MATH : 480 : 001 : Course ID 95126,,,,,,,,,
,,,All : 2016 Fall : MATH : 651 : 001 : Course ID 93452,,,,,,,,,
,,,Course Materials,,,,,,,,,
,,,,,,,Montgomery,,,,,
,,,All : 2016 Fall : MATH : 663 : 101 : Course ID 93458,,,,,,,,,
,,,,,,,Montgomery,,,,,
,,,,Applied Statistics Wiley Plus Card Only,,,,,,,,
,Fund of Biostatistics,,,,,,,,,,,
,Fund of Biostatistics,,,,,,,,,,,
,,,,Applied Statistics Wiley Plus Card Only,,,,,,,,
,,,,,,,,Montgomery,,,,
,,,,,,,Rosner,,,,,
,,,,,,9781305268920,,,,,,
,,,,,,,,Montgomery,,,,
,,,,,,,,,,,,$269.25
,,,,,,,,Rosner,,,,
,,,Course Materials,,,,,,,,,
,,,,,,,Montgomery,,,,,
,,,,,,,Montgomery,,,,,
,,,,Applied Statistics Wiley Plus Card Only,,,,,,,,
,,,,Applied Statistics Wiley Plus Card Only,,,,,,,,
,,,,,,,,Montgomery,,,,
,,,,,,,,Montgomery,,,,
,,,Course Materials,,,,,,,,,
,Mathematics Applied to Deterministic Problem etc,,,,,,,,,,,
,Mathematics Applied to Deterministic Problem etc,,,,,,,,,,,
,,,,,,,Lin,,,,,
,,,,,,,,,,,,$84.00
,,,,,,,,Lin,,,,
,,,All : 2016 Fall : Course ID 93473,,,,,,,,,
,,,Course Materials,,,,,,,,,
,Mathematics Applied to Deterministic Problem etc,,,,,,,,,,,
,,,All : 2016 Fall : Course ID 93475,,,,,,,,,
,Mathematics Applied to Deterministic Problem etc,,,,,,,,,,,
,,,,,,,Lin,,,,,
,,,,,,,,,,,,$84.00
,,,,,,,,Lin,,,,
,,,Course Materials,,,,,,,,,
,Differential Dynamical Systems,,,,,,,,,,,
,,,All : 2016 Fall : Course ID 93482,,,,,,,,,
,Differential Dynamical Systems,,,,,,,,,,,
,,,,,,,Meiss,,,,,
,,,,,,,,,,,,$102.75
,,,,,,,,Meiss,,,,
,,,Course Materials,,,,,,,,,
,Linear & Nonlinear Waves,,,,,,,,,,,
,,,All : 2016 Fall : Course ID 93481,,,,,,,,,
,Linear & Nonlinear Waves,,,,,,,,,,,
,,,,,,,Whitham,,,,,
,,,All : 2016 Fall : Course ID 93480,,,,,,,,,
,,,,,,,Whitham,,,,,
,,,,,,,,,,,,$202.25
,,,All : 2016 Fall : Course ID 93495,,,,,,,,,
,,,All : 2016 Fall : Course ID 93495,,,,,,,,,
,,,,Modern Intro to Math Theory of Water Waves,,,,,,,,
,,,,Modern Intro to Math Theory of Water Waves,,,,,,,,
,,,,,,,,Whitham,,,,
,,,,,,,,Whitham,,,,
,,,All : 2016 Fall : Course ID 93492,,,,,,,,,
,,,All : 2016 Fall : Course ID 93506,,,,,,,,,
,,,All : 2016 Fall : Course ID 93513,,,,,,,,,
,,,All : 2016 Fall : Course ID 93515,,,,,,,,,
,,,All : 2016 Fall : Course ID 93521,,,,,,,,,
,,,All : 2016 Fall : Course ID 93522,,,,,,,,,
,,,All : 2016 Fall : Course ID 93523,,,,,,,,,
,,,All : 2016 Fall : Course ID 93531,,,,,,,,,
,,,All : 2016 Fall : Course ID 93525,,,,,,,,,
,,,All : 2016 Fall : Course ID 93533,,,,,,,,,
,,,All : 2016 Fall : Course ID 95303,,,,,,,,,
,,,All : 2016 Fall : Course ID 93551,,,,,,,,,
,,,All : 2016 Fall : Course ID 93551,,,,,,,,,
,,,All : 2016 Fall : MATH : NE : SK3 : Course ID 94744,,,,,,,,,
,,,All : 2016 Fall : Course ID 93565,,,,,,,,,
,,,All : 2016 Fall : MATH : 791 : 001 : Course ID 93568,,,,,,,,,
,,,All : 2016 Fall : Course ID 95735,,,,,,,,,
,,,All : 2016 Fall : MATH : 792B : 747 : Course ID 95306,,,,,,,,,
,,,All : 2016 Fall : MATH : 792B : 745 : Course ID 93570,,,,,,,,,
,,,All : 2016 Fall : MATH : NE : SK1 : Course ID 94742,,,,,,,,,
,,,All : 2016 Fall : MATH : NE : SK2 : Course ID 94743,,,,,,,,,
,,,All : 2016 Fall : Course ID 92927,,,,,,,,,
,,,Course Materials,,,,,,,,,
,Human Factors in Simple & Complex Systems,,,,,,,,,,,
,,,All : 2016 Fall : Course ID 92945,,,,,,,,,
,Human Factors in Simple & Complex Systems,,,,,,,,,,,
,,,,,,,Proctor,,,,,
,,,,,,,,,,,,$137.00
,,,,,,,,Proctor,,,,
,,,All : 2016 Fall : Course ID 92939,,,,,,,,,
,,,All : 2016 Fall : Course ID 92939,,,,,,,,,
,,,All : 2016 Fall : Course ID 92948,,,,,,,,,
,,,Course Materials,,,,,,,,,
,Human Factors in Simple & Complex Systems,,,,,,,,,,,
,,,All : 2016 Fall : Course ID 92961,,,,,,,,,
,Human Factors in Simple & Complex Systems,,,,,,,,,,,
,,,,,,,Proctor,,,,,
,,,All : 2016 Fall : Course ID 92953,,,,,,,,,
,,,,,,,,,,,,$137.00
,,,All : 2016 Fall : Course ID 92951,,,,,,,,,
,,,,,,,,Proctor,,,,
,,,All : 2016 Fall : Course ID 92958,,,,,,,,,
,,,Course Materials,,,,,,,,,
,Human Factors in Simple & Complex Systems,,,,,,,,,,,
,Human Factors in Simple & Complex Systems,,,,,,,,,,,
,,,,,,,Proctor,,,,,
,,,All : 2016 Fall : Course ID 92967,,,,,,,,,
,,,All : 2016 Fall : Course ID 92968,,,,,,,,,
,,,,,,,,,,,,$137.00
,,,,,,,,Proctor,,,,
,,,All : 2016 Fall : Course ID 92986,,,,,,,,,
,,,All : 2016 Fall : Course ID 92992,,,,,,,,,
,,,All : 2016 Fall : Course ID 92994,,,,,,,,,
,,,All : 2016 Fall : Course ID 92999,,,,,,,,,
,,,All : 2016 Fall : Course ID 93001,,,,,,,,,
,,,All : 2016 Fall : Course ID 93011,,,,,,,,,
,,,All : 2016 Fall : Course ID 93013,,,,,,,,,
,,,All : 2016 Fall : Course ID 93014,,,,,,,,,
,,,All : 2016 Fall : Course ID 93002,,,,,,,,,
,,,All : 2016 Fall : Course ID 93004,,,,,,,,,
,,,All : 2016 Fall : Course ID 93010,,,,,,,,,
,,,All : 2016 Fall : Course ID 93007,,,,,,,,,
,,,All : 2016 Fall : Course ID 93005,,,,,,,,,
,,,All : 2016 Fall : Course ID 95285,,,,,,,,,
,,,All : 2016 Fall : MIP : 631 : 101 : Course ID 95401,,,,,,,,,
,,,All : 2016 Fall : Course ID 93019,,,,,,,,,
,,,All : 2016 Fall : Course ID 93021,,,,,,,,,
,,,All : 2016 Fall : ID : 340 : 001 : Course ID 92870,,,,,,,,,
,,,All : 2016 Fall : MIP : 655 : 101 : Course ID 94003,,,,,,,,,
,,,All : 2016 Fall : HUM : 101 : L60 : Course ID 94728,,,,,,,,,
,,,All : 2016 Fall : HUM : 101 : L63 : Course ID 94731,,,,,,,,,
,,,Course Materials,,,,,,,,,
,Marketing: Intro (w/out Access),,,,,,,,,,,
,Marketing: Intro (w/out Access),,,,,,,,,,,
,,,,,,,Armstrong,,,,,
,,,,,,,,,